TransactionID,ATMID,AccountNumber,CustomerID,TransactionAmount,TransactionType,TransactionTime,Location,Status
ATM000001,ATM013,1002003352,CUST372,5000,WITHDRAWAL,2025-01-01T00:00:00Z,Chennai,SUCCESS
ATM000002,ATM008,1002003348,CUST032,8000,WITHDRAWAL,2025-01-01T00:01:00Z,Mumbai,SUCCESS
ATM000003,ATM047,1002003268,CUST488,8000,WITHDRAWAL,2025-01-01T00:02:00Z,Bangalore,SUCCESS
ATM000004,ATM015,1002003256,CUST459,5000,WITHDRAWAL,2025-01-01T00:03:00Z,Kolkata,SUCCESS
ATM000005,ATM004,1002003494,CUST378,60000,WITHDRAWAL,2025-01-01T00:04:00Z,Bangalore,SUCCESS
ATM000006,ATM040,1002003154,CUST107,8000,WITHDRAWAL,2025-01-01T00:05:00Z,Mumbai,SUCCESS
ATM000007,ATM013,1002003059,CUST080,2000,WITHDRAWAL,2025-01-01T00:06:00Z,Kolkata,SUCCESS
ATM000008,ATM013,1002003011,CUST446,45000,WITHDRAWAL,2025-01-01T00:07:00Z,Chennai,SUCCESS
ATM000009,ATM009,1002003033,CUST033,2000,WITHDRAWAL,2025-01-01T00:08:00Z,Bangalore,SUCCESS
ATM000010,ATM025,1002003298,CUST174,8000,WITHDRAWAL,2025-01-01T00:09:00Z,Kolkata,SUCCESS
ATM000011,ATM023,1002003056,CUST251,8000,WITHDRAWAL,2025-01-01T00:10:00Z,Chennai,SUCCESS
ATM000012,ATM018,1002003219,CUST281,60000,WITHDRAWAL,2025-01-01T00:11:00Z,Delhi,SUCCESS
ATM000013,ATM020,1002003224,CUST235,8000,WITHDRAWAL,2025-01-01T00:12:00Z,Chennai,SUCCESS
ATM000014,ATM012,1002003420,CUST332,8000,WITHDRAWAL,2025-01-01T00:13:00Z,Mumbai,SUCCESS
ATM000015,ATM041,1002003441,CUST487,90000,WITHDRAWAL,2025-01-01T00:14:00Z,Mumbai,SUCCESS
ATM000016,ATM014,1002003101,CUST213,15000,WITHDRAWAL,2025-01-01T00:15:00Z,Pune,SUCCESS
ATM000017,ATM043,1002003438,CUST056,8000,WITHDRAWAL,2025-01-01T00:16:00Z,Pune,SUCCESS
ATM000018,ATM040,1002003031,CUST181,90000,WITHDRAWAL,2025-01-01T00:17:00Z,Delhi,SUCCESS
ATM000019,ATM049,1002003255,CUST319,8000,WITHDRAWAL,2025-01-01T00:18:00Z,Hyderabad,SUCCESS
ATM000020,ATM009,1002003376,CUST326,10000,WITHDRAWAL,2025-01-01T00:19:00Z,Hyderabad,SUCCESS
ATM000021,ATM029,1002003164,CUST042,15000,WITHDRAWAL,2025-01-01T00:20:00Z,Chennai,SUCCESS
ATM000022,ATM012,1002003123,CUST135,90000,WITHDRAWAL,2025-01-01T00:21:00Z,Delhi,SUCCESS
ATM000023,ATM045,1002003219,CUST047,2000,WITHDRAWAL,2025-01-01T00:22:00Z,Mumbai,SUCCESS
ATM000024,ATM027,1002003401,CUST123,90000,WITHDRAWAL,2025-01-01T00:23:00Z,Bangalore,SUCCESS
ATM000025,ATM001,1002003441,CUST485,10000,WITHDRAWAL,2025-01-01T00:24:00Z,Hyderabad,SUCCESS
ATM000026,ATM037,1002003320,CUST307,10000,WITHDRAWAL,2025-01-01T00:25:00Z,Hyderabad,SUCCESS
ATM000027,ATM032,1002003205,CUST090,10000,WITHDRAWAL,2025-01-01T00:26:00Z,Kolkata,SUCCESS
ATM000028,ATM006,1002003209,CUST406,15000,WITHDRAWAL,2025-01-01T00:27:00Z,Hyderabad,SUCCESS
ATM000029,ATM039,1002003046,CUST183,15000,WITHDRAWAL,2025-01-01T00:28:00Z,Kolkata,SUCCESS
ATM000030,ATM039,1002003178,CUST109,10000,WITHDRAWAL,2025-01-01T00:29:00Z,Hyderabad,SUCCESS
ATM000031,ATM009,1002003448,CUST202,60000,WITHDRAWAL,2025-01-01T00:30:00Z,Mumbai,SUCCESS
ATM000032,ATM005,1002003153,CUST172,60000,WITHDRAWAL,2025-01-01T00:31:00Z,Delhi,SUCCESS
ATM000033,ATM046,1002003282,CUST084,10000,WITHDRAWAL,2025-01-01T00:32:00Z,Hyderabad,SUCCESS
ATM000034,ATM012,1002003209,CUST214,60000,WITHDRAWAL,2025-01-01T00:33:00Z,Bangalore,SUCCESS
ATM000035,ATM025,1002003001,CUST468,45000,WITHDRAWAL,2025-01-01T00:34:00Z,Hyderabad,SUCCESS
ATM000036,ATM012,1002003257,CUST127,8000,WITHDRAWAL,2025-01-01T00:35:00Z,Hyderabad,SUCCESS
ATM000037,ATM026,1002003375,CUST254,2000,WITHDRAWAL,2025-01-01T00:36:00Z,Mumbai,SUCCESS
ATM000038,ATM005,1002003036,CUST317,5000,WITHDRAWAL,2025-01-01T00:37:00Z,Mumbai,SUCCESS
ATM000039,ATM048,1002003028,CUST272,45000,WITHDRAWAL,2025-01-01T00:38:00Z,Hyderabad,SUCCESS
ATM000040,ATM015,1002003257,CUST139,90000,WITHDRAWAL,2025-01-01T00:39:00Z,Chennai,SUCCESS
ATM000041,ATM011,1002003078,CUST110,5000,WITHDRAWAL,2025-01-01T00:40:00Z,Mumbai,SUCCESS
ATM000042,ATM050,1002003250,CUST387,45000,WITHDRAWAL,2025-01-01T00:41:00Z,Mumbai,SUCCESS
ATM000043,ATM005,1002003219,CUST235,60000,WITHDRAWAL,2025-01-01T00:42:00Z,Bangalore,SUCCESS
ATM000044,ATM020,1002003085,CUST397,10000,WITHDRAWAL,2025-01-01T00:43:00Z,Chennai,SUCCESS
ATM000045,ATM015,1002003167,CUST017,10000,WITHDRAWAL,2025-01-01T00:44:00Z,Pune,SUCCESS
ATM000046,ATM037,1002003362,CUST346,8000,WITHDRAWAL,2025-01-01T00:45:00Z,Pune,SUCCESS
ATM000047,ATM046,1002003276,CUST131,45000,WITHDRAWAL,2025-01-01T00:46:00Z,Bangalore,SUCCESS
ATM000048,ATM047,1002003339,CUST374,45000,WITHDRAWAL,2025-01-01T00:47:00Z,Hyderabad,SUCCESS
ATM000049,ATM029,1002003415,CUST048,45000,WITHDRAWAL,2025-01-01T00:48:00Z,Pune,SUCCESS
ATM000050,ATM048,1002003081,CUST409,5000,WITHDRAWAL,2025-01-01T00:49:00Z,Pune,SUCCESS
ATM000051,ATM049,1002003092,CUST304,10000,WITHDRAWAL,2025-01-01T00:50:00Z,Hyderabad,SUCCESS
ATM000052,ATM024,1002003358,CUST462,60000,WITHDRAWAL,2025-01-01T00:51:00Z,Delhi,SUCCESS
ATM000053,ATM024,1002003303,CUST433,8000,WITHDRAWAL,2025-01-01T00:52:00Z,Hyderabad,SUCCESS
ATM000054,ATM037,1002003384,CUST351,8000,WITHDRAWAL,2025-01-01T00:53:00Z,Mumbai,SUCCESS
ATM000055,ATM039,1002003185,CUST283,10000,WITHDRAWAL,2025-01-01T00:54:00Z,Delhi,SUCCESS
ATM000056,ATM026,1002003263,CUST260,8000,WITHDRAWAL,2025-01-01T00:55:00Z,Delhi,SUCCESS
ATM000057,ATM020,1002003334,CUST049,8000,WITHDRAWAL,2025-01-01T00:56:00Z,Mumbai,SUCCESS
ATM000058,ATM005,1002003051,CUST078,10000,WITHDRAWAL,2025-01-01T00:57:00Z,Chennai,SUCCESS
ATM000059,ATM007,1002003250,CUST191,8000,WITHDRAWAL,2025-01-01T00:58:00Z,Chennai,SUCCESS
ATM000060,ATM039,1002003222,CUST470,10000,WITHDRAWAL,2025-01-01T00:59:00Z,Mumbai,SUCCESS
ATM000061,ATM038,1002003359,CUST354,15000,WITHDRAWAL,2025-01-01T01:00:00Z,Pune,SUCCESS
ATM000062,ATM006,1002003121,CUST457,45000,WITHDRAWAL,2025-01-01T01:01:00Z,Chennai,SUCCESS
ATM000063,ATM050,1002003434,CUST192,10000,WITHDRAWAL,2025-01-01T01:02:00Z,Kolkata,SUCCESS
ATM000064,ATM048,1002003455,CUST274,10000,WITHDRAWAL,2025-01-01T01:03:00Z,Hyderabad,SUCCESS
ATM000065,ATM035,1002003056,CUST086,90000,WITHDRAWAL,2025-01-01T01:04:00Z,Mumbai,SUCCESS
ATM000066,ATM010,1002003467,CUST196,10000,WITHDRAWAL,2025-01-01T01:05:00Z,Kolkata,SUCCESS
ATM000067,ATM016,1002003069,CUST195,15000,WITHDRAWAL,2025-01-01T01:06:00Z,Hyderabad,SUCCESS
ATM000068,ATM010,1002003165,CUST055,8000,WITHDRAWAL,2025-01-01T01:07:00Z,Pune,SUCCESS
ATM000069,ATM029,1002003063,CUST110,5000,WITHDRAWAL,2025-01-01T01:08:00Z,Chennai,SUCCESS
ATM000070,ATM008,1002003236,CUST064,5000,WITHDRAWAL,2025-01-01T01:09:00Z,Mumbai,SUCCESS
ATM000071,ATM001,1002003159,CUST408,8000,WITHDRAWAL,2025-01-01T01:10:00Z,Hyderabad,SUCCESS
ATM000072,ATM018,1002003378,CUST446,8000,WITHDRAWAL,2025-01-01T01:11:00Z,Chennai,SUCCESS
ATM000073,ATM046,1002003454,CUST453,90000,WITHDRAWAL,2025-01-01T01:12:00Z,Pune,SUCCESS
ATM000074,ATM032,1002003455,CUST219,10000,WITHDRAWAL,2025-01-01T01:13:00Z,Bangalore,SUCCESS
ATM000075,ATM030,1002003422,CUST162,2000,WITHDRAWAL,2025-01-01T01:14:00Z,Bangalore,SUCCESS
ATM000076,ATM046,1002003457,CUST105,45000,WITHDRAWAL,2025-01-01T01:15:00Z,Bangalore,SUCCESS
ATM000077,ATM050,1002003380,CUST285,8000,WITHDRAWAL,2025-01-01T01:16:00Z,Pune,SUCCESS
ATM000078,ATM012,1002003061,CUST078,60000,WITHDRAWAL,2025-01-01T01:17:00Z,Mumbai,SUCCESS
ATM000079,ATM006,1002003332,CUST058,2000,WITHDRAWAL,2025-01-01T01:18:00Z,Kolkata,SUCCESS
ATM000080,ATM019,1002003391,CUST008,15000,WITHDRAWAL,2025-01-01T01:19:00Z,Kolkata,SUCCESS
ATM000081,ATM029,1002003115,CUST369,90000,WITHDRAWAL,2025-01-01T01:20:00Z,Mumbai,SUCCESS
ATM000082,ATM014,1002003177,CUST088,90000,WITHDRAWAL,2025-01-01T01:21:00Z,Hyderabad,SUCCESS
ATM000083,ATM034,1002003198,CUST119,15000,WITHDRAWAL,2025-01-01T01:22:00Z,Bangalore,SUCCESS
ATM000084,ATM037,1002003107,CUST199,45000,WITHDRAWAL,2025-01-01T01:23:00Z,Hyderabad,SUCCESS
ATM000085,ATM005,1002003378,CUST454,60000,WITHDRAWAL,2025-01-01T01:24:00Z,Delhi,SUCCESS
ATM000086,ATM036,1002003007,CUST338,15000,WITHDRAWAL,2025-01-01T01:25:00Z,Pune,SUCCESS
ATM000087,ATM045,1002003121,CUST499,5000,WITHDRAWAL,2025-01-01T01:26:00Z,Pune,SUCCESS
ATM000088,ATM020,1002003440,CUST471,8000,WITHDRAWAL,2025-01-01T01:27:00Z,Bangalore,SUCCESS
ATM000089,ATM032,1002003416,CUST037,8000,WITHDRAWAL,2025-01-01T01:28:00Z,Bangalore,SUCCESS
ATM000090,ATM001,1002003185,CUST076,45000,WITHDRAWAL,2025-01-01T01:29:00Z,Delhi,SUCCESS
