EventID,TxnID,CustomerID,AccountNumber,PayerUPI,PayeeUPI,Amount,TxnType,TxnTimestamp,Status,DeviceID,GeoLocation
UPI000001,TXN000001,CUST148,1002003160,user189@upi,store374@upi,2500,DEBIT,2025-01-01T00:00:00Z,SUCCESS,DEV129,"20.2018,87.4257"
UPI000002,TXN000002,CUST041,1002003127,user389@upi,store400@upi,95000,DEBIT,2025-01-01T00:00:05Z,SUCCESS,DEV095,"25.6749,75.5603"
UPI000003,TXN000003,CUST146,1002003405,user252@upi,store172@upi,75000,CREDIT,2025-01-01T00:00:10Z,SUCCESS,DEV159,"15.6949,80.2814"
UPI000004,TXN000004,CUST262,1002003007,user370@upi,store299@upi,95000,DEBIT,2025-01-01T00:00:15Z,SUCCESS,DEV216,"20.4006,80.0344"
UPI000005,TXN000005,CUST455,1002003464,user416@upi,store11@upi,150,CREDIT,2025-01-01T00:00:20Z,SUCCESS,DEV016,"20.0149,73.7034"
UPI000006,TXN000006,CUST200,1002003344,user443@upi,store163@upi,75000,CREDIT,2025-01-01T00:00:25Z,SUCCESS,DEV214,"27.1512,77.8588"
UPI000007,TXN000007,CUST386,1002003234,user283@upi,store379@upi,499,DEBIT,2025-01-01T00:00:30Z,SUCCESS,DEV158,"25.8645,77.0011"
UPI000008,TXN000008,CUST149,1002003201,user364@upi,store263@upi,150,DEBIT,2025-01-01T00:00:35Z,SUCCESS,DEV024,"25.8683,81.8032"
UPI000009,TXN000009,CUST377,1002003153,user476@upi,store350@upi,5000,CREDIT,2025-01-01T00:00:40Z,SUCCESS,DEV150,"20.2452,79.4882"
UPI000010,TXN000010,CUST440,1002003019,user408@upi,store450@upi,499,CREDIT,2025-01-01T00:00:45Z,SUCCESS,DEV261,"27.4307,79.2508"
UPI000011,TXN000011,CUST418,1002003097,user301@upi,store258@upi,2500,DEBIT,2025-01-01T00:00:50Z,SUCCESS,DEV167,"14.8667,80.5998"
UPI000012,TXN000012,CUST055,1002003040,user487@upi,store76@upi,499,CREDIT,2025-01-01T00:00:55Z,SUCCESS,DEV077,"21.539,76.3985"
UPI000013,TXN000013,CUST108,1002003308,user381@upi,store57@upi,2500,DEBIT,2025-01-01T00:01:00Z,SUCCESS,DEV088,"27.5378,73.098"
UPI000014,TXN000014,CUST380,1002003474,user123@upi,store311@upi,499,CREDIT,2025-01-01T00:01:05Z,SUCCESS,DEV231,"18.1519,76.2997"
UPI000015,TXN000015,CUST032,1002003491,user83@upi,store110@upi,150,DEBIT,2025-01-01T00:01:10Z,SUCCESS,DEV173,"14.8029,76.2133"
